City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Atuona,PF,77.74,clear sky,-9.8,-139.03,Villa Enata
2,Saint-Philippe,RE,83.79,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
10,Mayumba,GA,82.15,broken clouds,-3.43,10.66,LIKWALE LODGE
11,Rikitea,PF,77.67,light rain,-23.12,-134.97,People ThankYou
19,Sibu,MY,77.31,heavy intensity rain,2.3,111.82,RH HOTEL (4 Star)
20,Kruisfontein,ZA,75.88,clear sky,-34.0,24.73,Oyster Bay House Rental
25,Banda Aceh,ID,80.01,broken clouds,5.56,95.32,Sulthan Hotel International
27,Bani,DO,75.85,few clouds,18.28,-70.33,Hospedaje Henriquez
28,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
29,Guanambi,BR,81.19,overcast clouds,-14.22,-42.78,Hotel Portal Guanambi
30,Alta Floresta,BR,78.85,light rain,-9.88,-56.09,Floresta Amazonica Hotel
37,Carnarvon,AU,80.67,clear sky,-24.87,113.63,Hospitality Carnarvon
39,Faanui,PF,81.5,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
41,Kawalu,ID,75.79,overcast clouds,-7.38,108.21,KOSAN UNGU UNSIK
43,Arraial Do Cabo,BR,78.76,broken clouds,-22.97,-42.03,Pousada Porto Praia
45,Saint-Joseph,RE,82.78,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
49,Bubaque,GW,77.0,scattered clouds,11.28,-15.83,"Casa Dora, Bubaque"
50,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
52,Port Alfred,ZA,83.61,clear sky,-33.59,26.89,The Halyards Hotel
56,Manokwari,ID,79.54,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
58,San Policarpo,PH,80.13,few clouds,12.18,125.51,Agapita M. Nicart
60,Ca Mau,VN,79.36,few clouds,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
62,East London,ZA,86.94,clear sky,-33.02,27.91,Tu Casa
64,Hithadhoo,MV,82.98,overcast clouds,-0.6,73.08,Scoop Guest House
65,Mahebourg,MU,84.25,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
72,Atar,MR,89.65,clear sky,20.52,-13.05,Oumou Elghoura
74,Hermanus,ZA,79.9,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
75,Caravelas,BR,82.29,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
80,Cape Town,ZA,83.26,clear sky,-33.93,18.42,Southern Sun Cape Sun
89,Dingle,PH,76.6,broken clouds,11.0,122.67,SEGAYA PROPERTY
91,Bredasdorp,ZA,79.92,few clouds,-34.53,20.04,Bredasdorp Country Manor
96,Namatanai,PG,81.05,light rain,-3.67,152.43,Seagulls Inn Namatani
98,Libreville,GA,87.82,few clouds,0.39,9.45,Le Méridien Re-Ndama
102,Abonnema,NG,89.89,clear sky,4.71,6.79,Corper's Lodge Obonoma
103,Georgetown,MY,78.75,few clouds,5.41,100.34,Cititel Penang
108,Saldanha,ZA,86.05,overcast clouds,-33.01,17.94,Blue Bay Lodge
111,Butaritari,KI,81.95,light rain,3.07,172.79,Isles Sunset Lodge
113,Feijo,BR,75.72,overcast clouds,-8.16,-70.35,Hotel e Restaurante Aҫai
118,Coxim,BR,79.02,broken clouds,-18.51,-54.76,Hotel Avenida
120,Avarua,CK,77.05,scattered clouds,-21.21,-159.78,Paradise Inn
122,Chanika,TZ,76.89,light rain,-5.42,38.02,New Rombo Green Hotel
134,Grand Gaube,MU,84.38,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
136,Rio Pardo De Minas,BR,78.35,overcast clouds,-15.61,-42.54,Hotel Oásis Cidade Alta
139,Poli,TZ,77.65,broken clouds,-3.33,36.8,Peace Matunda Campsite and Backpackers
146,Arlit,NE,85.5,clear sky,18.74,7.39,Hôtel Telwa Bungalow
160,Banjar,ID,82.26,broken clouds,-8.19,114.97,The Hamsa Resort
173,San Pedro,PH,81.63,few clouds,14.35,121.02,Villa Veronica Resort Private Pool
175,Wiwili,NI,75.94,broken clouds,13.63,-85.83,Hostal Gladys
